ID,面积,周长,暴雨,比降,断层,岩性,最大高程,最小高程,相对高差,主沟长度
T001,65924920,37022,58,0.790,1,4380,1557,2823,12031,235
T002,30245122,26890,57,0.790,1,4520,1557,2963,10973,270
T003,45788150,31986,57,0.850,2,4640,1549,3091,11612,266
T004,105370617,50908,72,0.780,3,5120,1620,3500,17338,202
T005,10352295,14824,62,0.850,1,4220,1561,2659,5731,464
T006,12362264,23091,57,0.850,1,4520,1560,2960,10966,270
T007,4305603,10410,62,0.830,1,3546,1560,1986,4193,474
T008,77822763,44179,66,0.820,2,5120,1540,3580,16700,214
T009,8159210,13863,59,0.880,2,3868,1522,2346,5820,403
T010,15576998,18179,59,0.820,2,4060,1524,2536,7482,339
T011,48715036,42261,65,0.800,2,4520,1523,2997,18443,163
T012,5712959,14504,62,0.760,1,3544,1527,2017,6468,312
T013,2833503,8519,60,0.880,1,3331,1520,1811,2915,621
T014,7729837,14356,60,0.820,2,3934,1520,2414,6118,395
T015,3910963,9668,60,0.840,1,3136,1519,1617,3480,465
T016,8971075,17193,63,0.780,1,3973,1519,2454,6651,369
T017,44781855,33977,70,0.700,2,4563,1504,3059,15790,194
T018,4338174,10762,67,0.750,2,3680,1495,2185,3981,549
T019,17914835,21693,69,0.780,3,4119,1518,2601,8037,324
T020,4315017,9014,64,0.820,1,3860,1510,2350,3285,715
T021,20230242,23232,71,0.780,3,4140,1500,2640,10874,243
T022,7678181,13379,65,0.830,1,4274,1490,2784,4656,598
T023,27342245,25692,71,0.700,3,4120,1521,2599,11120,234
T024,2013638,6830,70,0.770,1,2930,1480,1450,2773,523
T025,5230819,9579,71,0.800,1,3342,1483,1859,2876,646
T026,21931830,22936,68,0.810,1,4640,1465,3175,9036,351
T027,22327918,21861,70,0.760,1,4375,1440,2935,8171,359
T028,13287825,17302,72,0.840,1,4033,1420,2613,6638,394
T029,1778125,5729,76,0.850,1,2649,1440,1209,2210,547
T030,5840758,11375,77,0.830,1,3380,1440,1940,4401,441
T031,1582703,5812,76,0.900,1,2740,1485,1255,2182,575
T032,1077249,4860,76,0.900,1,2590,1443,1147,1925,596
T033,15440912,18951,77,0.790,1,4003,1424,2579,7700,335
T034,12494942,17930,77,0.770,1,3920,1420,2500,7353,340
T035,10229058,14473,72,0.850,1,3956,1441,2515,4947,508
T036,4694199,10777,76,0.830,1,3520,1441,2079,4040,515
T037,121436993,52765,80,0.680,3,4202,1420,2782,23288,119
T038,5250650,10196,76,0.780,1,3401,1391,2010,3273,614
T039,28787164,24586,78,0.760,2,4039,1394,2645,9920,267
T040,10677001,18791,71,0.780,1,4147,1347,2800,7995,350
T041,6512209,12497,70,0.820,0,3699,1389,2310,5286,437
T042,47016210,30787,71,0.760,1,3995,1383,2612,11656,224
T043,2655772,7894,70,0.850,0,2942,1359,1583,2563,618
T044,3699136,9157,68,0.850,1,3212,1359,1853,3391,546
T045,13740241,16570,70,0.800,1,3941,1314,2627,7102,370
T046,42989315,30415,70,0.680,3,4102,1301,2801,11246,249
T047,11806522,16807,72,0.880,0,3806,1301,2505,6847,366
T048,16884259,18501,71,0.760,1,3980,1298,2682,7494,358
T049,829261,4008,73,0.900,0,2244,1296,948,1507,629
T050,4181540,9739,72,0.850,0,3248,1299,1949,4028,484
T051,1296096,5215,73,0.860,0,2486,1296,1190,1880,633
T052,656539,3850,74,0.900,0,2153,1299,854,1315,649
T053,421878,2847,73,0.900,0,2074,1306,768,1132,678
T054,26869782,22624,70,0.800,2,3860,1271,2589,8200,316
T055,6305448,11240,71,0.760,1,3300,1270,2030,2990,679
T056,16704083,20813,70,0.760,2,3700,1270,2430,7332,331
T057,5055517,12567,71,0.770,1,3480,1270,2210,4416,500
T058,9600372,14309,70,0.820,2,3241,1268,1973,5998,329
T059,42681660,28713,75,0.780,1,4002,1254,2748,11867,232
T060,36212862,39380,76,0.830,1,4061,1239,2822,15270,185
T061,981501,4554,72,0.850,1,2307,1235,1072,1529,701
T062,1353591,5897,71,0.850,1,2731,1244,1487,2012,739
T063,2378216,6632,72,0.800,1,2621,1239,1382,2448,565
T064,25550868,24570,74,0.780,1,4043,1236,2807,10540,266
T065,2368677,8627,71,0.880,1,3411,1250,2161,3026,714
T066,1099848,5415,72,0.800,1,2510,1242,1268,1612,787
T067,2306514,7559,71,0.880,1,3178,1244,1934,2660,727
T068,44724304,35972,68,0.720,3,4160,1285,2875,13884,207
T069,1031314,5819,72,0.820,0,2620,1239,1381,2429,569
T070,38819553,34543,76,0.720,1,4053,1238,2815,12379,227
T071,4250431,9542,73,0.780,1,3100,1233,1867,3528,529
T072,6335150,13360,72,0.880,1,3715,1233,2482,5277,470
T073,995944,5247,72,0.850,1,2457,1231,1226,2057,596
T074,17683731,19964,71,0.850,1,3957,1234,2723,6507,418
T075,2867172,7996,73,0.840,1,2763,1234,1529,2595,589
T076,193787283,67227,78,0.700,1,4120,1226,2894,25258,115
T077,33618784,26387,70,0.760,2,4246,1231,3015,10248,294
T078,1634829,6220,72,0.850,1,2633,1232,1401,1827,767
T079,4254350,9170,74,0.800,0,2987,1263,1724,3613,477
T080,4080540,9520,74,0.850,0,3245,1219,2026,3554,570
T081,870740,4372,73,0.900,0,2380,1216,1164,1856,627
T082,14946896,17852,75,0.820,0,3784,1210,2574,7250,355
T083,38339284,28633,76,0.800,0,4040,1179,2861,10742,266
T084,22993580,23489,72,0.780,1,4128,1181,2947,10404,283
T085,91167149,43151,77,0.730,0,4097,1159,2938,16864,174
T086,21070635,23698,72,0.820,1,4260,1179,3081,9885,312
T087,16529498,21231,72,0.800,1,4008,1166,2842,8026,354
T088,25155373,30358,72,0.740,2,4252,1156,3096,14328,216
T089,13955631,17981,76,0.760,0,3507,1155,2352,7734,304
T090,48648459,34449,72,0.820,2,4223,1157,3066,12273,250
T091,5310818,13517,73,0.820,1,3667,1174,2493,5310,469
T092,13952974,20543,72,0.820,1,4141,1150,2991,8510,351
T093,2999371,9216,73,0.900,0,3197,1144,2053,2980,689
T094,7417838,13754,75,0.830,1,3009,1143,1866,4932,378
T095,86592015,43323,77,0.680,1,4000,1150,2850,17587,162
T096,12111441,20193,72,0.800,1,4080,1143,2937,8278,355
T097,6695478,13932,72,0.850,1,3675,1143,2532,5095,497
T098,14897965,18203,75,0.820,1,3265,1117,2148,8354,257
T099,48742658,37248,77,0.780,1,4003,1113,2890,16943,171
T100,5887872,12481,73,0.800,1,3456,1115,2341,4390,533
T101,23914839,22411,72,0.820,1,4000,1119,2881,9194,313
T102,21810406,22696,75,0.720,1,3766,1120,2646,10579,250
T103,2684912,7947,74,0.880,1,2741,1116,1625,3285,495
T104,43490477,31757,71,0.820,2,4376,1107,3269,12641,259
T105,13058814,16138,74,0.850,1,3440,1107,2333,5675,411
T106,50976518,39364,70,0.760,3,4300,1115,3185,15717,203
T107,92027370,46025,77,0.680,1,4022,1079,2943,20489,144
T108,1276713,5130,74,0.900,1,2520,1102,1418,1898,747
T109,9612303,14090,72,0.800,1,3418,1108,2310,5360,431
T110,4220587,9144,74,0.760,1,2957,1081,1876,3132,599
T111,1843104,6429,73,0.790,1,2572,1073,1499,2091,717
T112,921381,4305,73,0.900,1,2209,1059,1150,1502,766
T113,10406726,15402,74,0.840,1,3328,1062,2266,5975,379
T114,1339067,5588,74,0.900,1,2591,1064,1527,2164,706
T115,23047861,21315,72,0.800,3,3708,1076,2632,9044,291
T116,69987945,40733,71,0.740,4,4105,1035,3070,16299,188
T117,96378137,49402,76,0.780,0,4137,1033,3104,19069,163
T118,32022356,27424,71,0.790,4,4162,1017,3145,11558,272
T119,44688712,31725,71,0.760,4,4103,988,3115,13494,231
T120,17775729,22222,75,0.800,0,3700,1032,2668,9763,273
T121,1757616,5453,74,0.800,0,2359,1004,1355,1783,760
T122,3548744,9292,74,0.900,0,2797,997,1800,3575,503
T123,45506458,38005,76,0.780,0,4143,987,3156,16973,186
T124,24377759,27394,71,0.790,5,4140,988,3152,12182,259
T125,26041662,26330,74,0.760,0,3734,967,2767,9755,284
T126,2678351,8001,73,0.830,0,2680,978,1702,2403,708
T127,59902407,36086,71,0.820,5,4140,970,3170,12768,248
T128,2552216,8208,74,0.720,0,2840,998,1842,3760,490
T129,884414,5039,74,0.750,0,2506,964,1542,2052,751
T130,647274,3850,74,0.900,0,2155,975,1180,1620,728
T131,2298416,7528,74,0.760,0,2992,963,2029,2699,752
T132,1925311,7052,74,0.760,0,2782,950,1832,2902,631
T133,85990323,43431,77,0.770,0,4160,952,3208,18188,176
T134,1393742,5678,74,0.800,0,2369,950,1419,2008,707
T135,5103266,9988,74,0.800,0,2610,956,1654,2825,585
T136,83641142,41914,72,0.700,5,4006,957,3049,17075,179
T137,17358025,21024,73,0.760,3,3460,934,2526,8583,294
T138,164149532,64304,77,0.690,0,4160,934,3226,26483,122
T139,1010571,4314,74,0.900,0,2050,955,1095,1420,771
T140,3192566,8396,74,0.880,0,2315,921,1394,2801,498
T141,7070595,12814,74,0.880,1,2903,897,2006,4297,467
T142,2822746,8846,74,0.820,2,2593,900,1693,3030,559
T143,173280067,69023,72,0.800,5,3985,900,3085,18572,166
T144,3109390,8518,74,0.760,1,2839,880,1959,2858,685
T145,3887000,9076,73,0.820,2,2821,880,1941,2904,668
T146,76723792,44585,76,0.800,1,4129,881,3248,19036,171
T147,50126796,34250,71,0.820,5,3698,885,2813,12389,227
T148,100308543,55612,75,0.760,2,4120,860,3260,22029,148
T149,19078161,20653,72,0.820,3,3700,860,2840,9316,305
T150,34958398,34993,74,0.780,1,3914,864,3050,15073,202
T151,4153598,8334,73,0.770,1,2209,899,1310,2799,468
T152,575495159,129651,68,0.680,8,3861,797,3064,48452,63
T153,110028294,58387,75,0.680,2,4046,861,3185,28864,110
T154,58551095,40507,72,0.820,5,3881,860,3021,14843,204
T155,27768802,27643,74,0.780,2,3036,880,2156,12460,173
T156,122916594,54587,72,0.800,4,3884,859,3025,14940,202
T157,38279961,32404,74,0.810,2,3220,822,2398,13624,176
T158,106261315,54845,75,0.790,1,3780,817,2963,17952,165
T159,22237442,23008,72,0.820,2,2936,817,2119,8660,245
T160,7669489,13628,73,0.840,1,2500,791,1709,5732,298
T161,36744547,32480,72,0.800,3,3485,798,2687,12385,217
T162,5138595,9474,72,0.900,1,1840,797,1043,3108,336
T163,2229702,6931,73,0.880,2,1856,802,1054,2282,462
T164,4169666,10449,73,0.800,1,2436,800,1636,4576,358
T165,8051892,15091,73,0.820,1,2649,777,1872,5482,341
T166,4581289,12512,73,0.850,1,2572,764,1808,4634,390
T167,68820681,47363,74,0.790,2,3586,860,2726,17851,153
T168,5947046,12887,73,0.830,1,2349,767,1582,4660,339
T169,8928534,13873,71,0.820,2,2543,808,1735,4302,403
T170,29751815,28537,73,0.760,1,3720,839,2881,12269,235
T171,4882094,10451,71,0.900,1,2450,755,1695,3823,443
T172,67537729,40956,69,0.780,1,2821,754,2067,14526,142
T173,12448591,20769,73,0.820,2,3143,756,2387,8547,279
T174,1381912,5262,71,0.800,1,2028,759,1269,2019,629
T175,9329562,15460,72,0.900,2,2557,758,1799,6139,293
T176,20475315,19604,70,0.830,3,2645,755,1890,7644,247
T177,41242010,34832,73,0.800,3,3780,754,3026,14749,205
T178,51156781,38341,73,0.760,3,3780,770,3010,14070,214
T179,14584150,22054,71,0.820,3,2622,746,1876,9620,195
T180,63710276,42064,72,0.780,2,3438,738,2700,15719,172
T181,3118387,11498,71,0.800,2,1746,737,1009,3728,271
T182,25931810,28168,71,0.800,2,3496,881,2615,11606,225
T183,3683300,9492,68,0.850,0,1938,730,1208,3772,320
T184,377928964,121885,70,0.650,7,3584,753,2831,42512,67
T185,1776185,6839,68,0.850,0,1940,731,1209,2780,435
T186,221483436,92946,66,0.750,5,3023,719,2304,34277,67
T187,46045216,38257,68,0.800,1,3611,716,2895,15590,186
T188,32724110,30148,66,0.780,1,2156,718,1438,11901,121
T189,7169200,12883,66,0.850,1,1700,717,983,3513,280
T190,7323609,13088,66,0.830,1,1150,717,433,5008,86
T191,4822612,11509,66,0.800,0,1962,680,1282,4798,267
T192,1965688,7519,66,0.850,0,1909,670,1239,3067,404
T193,9155245,17781,68,0.830,0,1970,660,1310,6385,205
T194,21107385,27057,68,0.820,1,2163,659,1504,10340,145
T195,82845345,51955,73,0.780,3,2752,658,2094,18748,112
T196,29774013,28883,88,0.820,0,2260,658,1602,10619,151
T197,35432134,27258,68,0.790,1,2293,658,1635,9994,164
T198,16602244,27193,68,0.800,0,2180,658,1522,10555,144
T199,13953579,19401,72,0.780,3,2368,659,1709,6507,263
T200,13371995,20438,72,0.840,3,2501,659,1842,8051,229
